language_slug,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent
UD_Arabic-PADT,depth,L10,false,0.9773,0.7077,0.8366,0.0000,0.8750,909,680
UD_Arabic-PADT,depth,L5,false,1.0174,0.6500,0.8097,0.0000,0.8897,909,680
UD_Arabic-PADT,depth,L6,false,0.9711,0.6776,0.8274,0.0000,0.9059,909,680
UD_Arabic-PADT,depth,L7,true,0.9504,0.7178,0.8458,0.0000,0.9103,909,680
UD_Arabic-PADT,depth,L8,false,0.9531,0.7252,0.8486,0.0000,0.8941,909,680
UD_Arabic-PADT,depth,L9,false,0.9625,0.7220,0.8503,0.0000,0.8882,909,680
UD_Arabic-PADT,dist,L10,false,1.1827,0.7545,0.7929,0.6889,0.0000,908,680
UD_Arabic-PADT,dist,L5,false,1.2217,0.7104,0.7646,0.6843,0.0000,908,680
UD_Arabic-PADT,dist,L6,false,1.1771,0.7483,0.7887,0.7208,0.0000,908,680
UD_Arabic-PADT,dist,L7,true,1.1317,0.7710,0.8044,0.7294,0.0000,908,680
UD_Arabic-PADT,dist,L8,false,1.1285,0.7745,0.8056,0.7199,0.0000,908,680
UD_Arabic-PADT,dist,L9,false,1.1477,0.7622,0.8021,0.7101,0.0000,908,680
UD_Basque-BDT,depth,L10,false,0.4904,0.6851,0.7766,0.0000,0.7638,1798,1799
UD_Basque-BDT,depth,L5,false,0.5383,0.5321,0.7203,0.0000,0.7132,1798,1799
UD_Basque-BDT,depth,L6,false,0.5048,0.5682,0.7579,0.0000,0.7521,1798,1799
UD_Basque-BDT,depth,L7,true,0.4849,0.5877,0.7849,0.0000,0.7749,1798,1799
UD_Basque-BDT,depth,L8,false,0.4766,0.6325,0.7774,0.0000,0.7821,1798,1799
UD_Basque-BDT,depth,L9,false,0.4849,0.6379,0.7725,0.0000,0.7693,1798,1799
UD_Basque-BDT,dist,L10,false,0.6419,0.6138,0.7094,0.7388,0.0000,1798,1799
UD_Basque-BDT,dist,L5,false,0.6660,0.5734,0.6830,0.7087,0.0000,1798,1799
UD_Basque-BDT,dist,L6,false,0.6273,0.6166,0.7176,0.7375,0.0000,1798,1799
UD_Basque-BDT,dist,L7,true,0.6096,0.6507,0.7285,0.7501,0.0000,1798,1799
UD_Basque-BDT,dist,L8,false,0.6094,0.6378,0.7311,0.7510,0.0000,1798,1799
UD_Basque-BDT,dist,L9,false,0.6225,0.6235,0.7224,0.7469,0.0000,1798,1799
UD_Bulgarian-BTB,depth,L10,false,0.4415,0.7873,0.8699,0.0000,0.8629,1115,1116
UD_Bulgarian-BTB,depth,L5,false,0.4747,0.6508,0.8324,0.0000,0.8414,1115,1116
UD_Bulgarian-BTB,depth,L6,false,0.4354,0.7818,0.8573,0.0000,0.8674,1115,1116
UD_Bulgarian-BTB,depth,L7,true,0.4176,0.7704,0.8688,0.0000,0.8728,1115,1116
UD_Bulgarian-BTB,depth,L8,false,0.4235,0.7710,0.8745,0.0000,0.8719,1115,1116
UD_Bulgarian-BTB,depth,L9,false,0.4312,0.8077,0.8712,0.0000,0.8674,1115,1116
UD_Bulgarian-BTB,dist,L10,false,0.5377,0.7287,0.7893,0.8284,0.0000,1112,1111
UD_Bulgarian-BTB,dist,L5,false,0.5371,0.6973,0.7629,0.8236,0.0000,1112,1111
UD_Bulgarian-BTB,dist,L6,false,0.5067,0.7269,0.7915,0.8456,0.0000,1112,1111
UD_Bulgarian-BTB,dist,L7,true,0.4899,0.7675,0.8073,0.8552,0.0000,1112,1111
UD_Bulgarian-BTB,dist,L8,false,0.4972,0.7490,0.8100,0.8526,0.0000,1112,1111
UD_Bulgarian-BTB,dist,L9,false,0.5162,0.7436,0.8010,0.8425,0.0000,1112,1111
UD_Chinese-GSD,depth,L10,false,0.5800,0.7283,0.7831,0.0000,0.5320,500,500
UD_Chinese-GSD,depth,L5,false,0.5814,0.5513,0.7731,0.0000,0.5400,500,500
UD_Chinese-GSD,depth,L6,false,0.5439,0.6272,0.7986,0.0000,0.5620,500,500
UD_Chinese-GSD,depth,L7,true,0.5435,0.6496,0.8081,0.0000,0.5700,500,500
UD_Chinese-GSD,depth,L8,false,0.5502,0.6472,0.8094,0.0000,0.5540,500,500
UD_Chinese-GSD,depth,L9,false,0.5686,0.6561,0.7940,0.0000,0.5440,500,500
UD_Chinese-GSD,dist,L10,false,0.7915,0.6855,0.7235,0.6644,0.0000,500,500
UD_Chinese-GSD,dist,L5,false,0.7769,0.6618,0.7207,0.6669,0.0000,500,500
UD_Chinese-GSD,dist,L6,false,0.7307,0.6765,0.7483,0.7002,0.0000,500,500
UD_Chinese-GSD,dist,L7,true,0.7198,0.7100,0.7634,0.7078,0.0000,500,500
UD_Chinese-GSD,dist,L8,false,0.7347,0.6932,0.7492,0.6959,0.0000,500,500
UD_Chinese-GSD,dist,L9,false,0.7589,0.6959,0.7364,0.6864,0.0000,500,500
UD_Czech-PDTC,depth,L10,false,0.4873,0.8454,0.8575,0.0000,0.9020,9260,10129
UD_Czech-PDTC,depth,L5,false,0.5326,0.7355,0.7998,0.0000,0.8575,9260,10129
UD_Czech-PDTC,depth,L6,false,0.4831,0.7803,0.8378,0.0000,0.8888,9260,10129
UD_Czech-PDTC,depth,L7,true,0.4580,0.8452,0.8621,0.0000,0.9104,9260,10129
UD_Czech-PDTC,depth,L8,false,0.4599,0.8401,0.8669,0.0000,0.9136,9260,10129
UD_Czech-PDTC,depth,L9,false,0.4712,0.8500,0.8636,0.0000,0.9099,9260,10129
UD_Czech-PDTC,dist,L10,false,0.6195,0.7437,0.7737,0.8030,0.0000,9009,9870
UD_Czech-PDTC,dist,L5,false,0.6393,0.7091,0.7476,0.7833,0.0000,9009,9870
UD_Czech-PDTC,dist,L6,false,0.5956,0.7489,0.7776,0.8170,0.0000,9009,9870
UD_Czech-PDTC,dist,L7,true,0.5732,0.7791,0.7985,0.8297,0.0000,9009,9870
UD_Czech-PDTC,dist,L8,false,0.5769,0.7715,0.7995,0.8262,0.0000,9009,9870
UD_Czech-PDTC,dist,L9,false,0.5942,0.7645,0.7888,0.8161,0.0000,9009,9870
UD_English-EWT,depth,L10,false,0.4239,0.7941,0.8306,0.0000,0.8553,1974,2038
UD_English-EWT,depth,L5,false,0.4305,0.7397,0.8056,0.0000,0.8395,1974,2038
UD_English-EWT,depth,L6,false,0.4075,0.7885,0.8331,0.0000,0.8636,1974,2038
UD_English-EWT,depth,L7,true,0.3994,0.7921,0.8480,0.0000,0.8778,1974,2038
UD_English-EWT,depth,L8,false,0.4012,0.7869,0.8459,0.0000,0.8798,1974,2038
UD_English-EWT,depth,L9,false,0.4099,0.8172,0.8374,0.0000,0.8651,1974,2038
UD_English-EWT,dist,L10,false,0.5236,0.7164,0.7512,0.7813,0.0000,1805,1838
UD_English-EWT,dist,L5,false,0.5070,0.7029,0.7443,0.7929,0.0000,1805,1838
UD_English-EWT,dist,L6,false,0.4811,0.7393,0.7689,0.8170,0.0000,1805,1838
UD_English-EWT,dist,L7,true,0.4757,0.7500,0.7805,0.8161,0.0000,1805,1838
UD_English-EWT,dist,L8,false,0.4876,0.7459,0.7780,0.8011,0.0000,1805,1838
UD_English-EWT,dist,L9,false,0.5040,0.7333,0.7651,0.7920,0.0000,1805,1838
UD_Finnish-TDT,depth,L10,false,0.5035,0.8088,0.8166,0.0000,0.8180,1364,1555
UD_Finnish-TDT,depth,L5,false,0.5402,0.6663,0.7647,0.0000,0.7460,1364,1555
UD_Finnish-TDT,depth,L6,false,0.4971,0.7361,0.8063,0.0000,0.8051,1364,1555
UD_Finnish-TDT,depth,L7,true,0.4758,0.7784,0.8335,0.0000,0.8270,1364,1555
UD_Finnish-TDT,depth,L8,false,0.4765,0.7925,0.8289,0.0000,0.8257,1364,1555
UD_Finnish-TDT,depth,L9,false,0.4857,0.8194,0.8227,0.0000,0.8322,1364,1555
UD_Finnish-TDT,dist,L10,false,0.6202,0.6797,0.7399,0.7474,0.0000,1349,1542
UD_Finnish-TDT,dist,L5,false,0.6442,0.6687,0.7063,0.7136,0.0000,1349,1542
UD_Finnish-TDT,dist,L6,false,0.6027,0.7107,0.7407,0.7488,0.0000,1349,1542
UD_Finnish-TDT,dist,L7,true,0.5818,0.7280,0.7639,0.7662,0.0000,1349,1542
UD_Finnish-TDT,dist,L8,false,0.5821,0.7094,0.7681,0.7674,0.0000,1349,1542
UD_Finnish-TDT,dist,L9,false,0.6001,0.6979,0.7557,0.7609,0.0000,1349,1542
UD_French-GSD,depth,L10,false,0.5260,0.8120,0.8639,0.0000,0.8558,1476,416
UD_French-GSD,depth,L5,false,0.5565,0.6569,0.8297,0.0000,0.8101,1476,416
UD_French-GSD,depth,L6,false,0.5057,0.7072,0.8569,0.0000,0.8438,1476,416
UD_French-GSD,depth,L7,true,0.4903,0.7723,0.8781,0.0000,0.8822,1476,416
UD_French-GSD,depth,L8,false,0.5063,0.7343,0.8706,0.0000,0.8726,1476,416
UD_French-GSD,depth,L9,false,0.5138,0.7576,0.8708,0.0000,0.8534,1476,416
UD_French-GSD,dist,L10,false,0.6911,0.7530,0.7920,0.7843,0.0000,1476,416
UD_French-GSD,dist,L5,false,0.6762,0.7119,0.7849,0.8177,0.0000,1476,416
UD_French-GSD,dist,L6,false,0.6366,0.7464,0.8087,0.8296,0.0000,1476,416
UD_French-GSD,dist,L7,true,0.6221,0.7687,0.8202,0.8291,0.0000,1476,416
UD_French-GSD,dist,L8,false,0.6393,0.7630,0.8229,0.8100,0.0000,1476,416
UD_French-GSD,dist,L9,false,0.6606,0.7574,0.8128,0.7927,0.0000,1476,416
UD_German-GSD,depth,L10,false,0.4475,0.8131,0.8380,0.0000,0.8770,799,976
UD_German-GSD,depth,L5,false,0.4598,0.7124,0.8032,0.0000,0.8463,799,976
UD_German-GSD,depth,L6,false,0.4308,0.7975,0.8271,0.0000,0.8648,799,976
UD_German-GSD,depth,L7,true,0.4150,0.8208,0.8441,0.0000,0.8811,799,976
UD_German-GSD,depth,L8,false,0.4209,0.8089,0.8295,0.0000,0.8760,799,976
UD_German-GSD,depth,L9,false,0.4335,0.8009,0.8393,0.0000,0.8689,799,976
UD_German-GSD,dist,L10,false,0.5705,0.7424,0.7704,0.7991,0.0000,799,966
UD_German-GSD,dist,L5,false,0.5577,0.7374,0.7726,0.7892,0.0000,799,966
UD_German-GSD,dist,L6,false,0.5336,0.7590,0.7935,0.8168,0.0000,799,966
UD_German-GSD,dist,L7,true,0.5249,0.7677,0.7985,0.8225,0.0000,799,966
UD_German-GSD,dist,L8,false,0.5366,0.7754,0.7977,0.8184,0.0000,799,966
UD_German-GSD,dist,L9,false,0.5529,0.7595,0.7879,0.8108,0.0000,799,966
UD_Greek-GDT,depth,L10,false,0.7148,0.6287,0.8358,0.0000,0.6974,403,456
UD_Greek-GDT,depth,L5,false,0.7330,0.5705,0.7353,0.0000,0.7018,403,456
UD_Greek-GDT,depth,L6,false,0.6920,0.6055,0.7839,0.0000,0.7215,403,456
UD_Greek-GDT,depth,L7,true,0.6735,0.6303,0.7722,0.0000,0.7281,403,456
UD_Greek-GDT,depth,L8,false,0.6928,0.6372,0.7956,0.0000,0.7281,403,456
UD_Greek-GDT,depth,L9,false,0.6964,0.6283,0.8416,0.0000,0.7215,403,456
UD_Greek-GDT,dist,L10,false,0.8205,0.6943,0.7874,0.7100,0.0000,394,448
UD_Greek-GDT,dist,L5,false,0.8440,0.6699,0.7666,0.6866,0.0000,394,448
UD_Greek-GDT,dist,L6,false,0.7861,0.7213,0.7994,0.7400,0.0000,394,448
UD_Greek-GDT,dist,L7,true,0.7557,0.7257,0.8154,0.7515,0.0000,394,448
UD_Greek-GDT,dist,L8,false,0.7574,0.7432,0.8145,0.7415,0.0000,394,448
UD_Greek-GDT,dist,L9,false,0.7874,0.7134,0.8054,0.7351,0.0000,394,448
UD_Hebrew-HTB,depth,L10,false,0.6599,0.6246,0.8248,0.0000,0.7373,484,491
UD_Hebrew-HTB,depth,L5,false,0.7176,0.5073,0.7695,0.0000,0.6701,484,491
UD_Hebrew-HTB,depth,L6,false,0.6586,0.5671,0.8198,0.0000,0.7067,484,491
UD_Hebrew-HTB,depth,L7,true,0.6305,0.5976,0.8335,0.0000,0.7271,484,491
UD_Hebrew-HTB,depth,L8,false,0.6341,0.6081,0.8376,0.0000,0.7495,484,491
UD_Hebrew-HTB,depth,L9,false,0.6483,0.6250,0.8334,0.0000,0.7373,484,491
