language_slug,glottocode,family_top,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent,mean_content_len_test,median_content_len_test,mean_arc_length_test,mean_orig_len_test,mean_content_ratio_test,mean_num_arcs_test,fragmentation_ratio_content_mean,fragmentation_ratio_overall_mean,mean_tree_height_test,height_residual,height_normalized_log,height_normalized_linear,n_train_sent,n_train_tokens_content,n_test_tokens_content,n_deprel_types,n_upos_types,log_n_train_sent,log_n_test_sent,log_n_train_tokens_content,log_n_test_tokens_content,ud_release,conllu_checksum_train,conllu_checksum_test,pretrain_exposure_log2mb,size_mb,chosen_date,exposure_source,complexity_pc1,complexity_pc1_adequate_only,feats_coverage_train,feats_coverage_band,new_complex_pc1,new_overall_marking_rate
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L7,True,0.9504,0.7178,0.8458,0.0,0.9103,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,dist,L7,True,1.1317,0.771,0.8044,0.7294,0.0,908,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Basque-BDT,basq1248,Isolate,depth,L7,True,0.4849,0.5877,0.7849,0.0,0.7749,1798,1799,11.377431906614786,11.0,2.126912215756662,13.54863813229572,0.8316850958932633,10.377431906614786,2.097075582169305,1.9131403765408757,4.342968315730961,0.0396474721112545,1.1965286329467482,0.3817178034004299,5396,61030,20468,30,15,8.593413217327646,7.494986233950533,11.01912082553854,9.926617969924983,UD_2.x,5199ae599f99131c,912d70e23292fa7e,7.429227387506113,172.35357189178467,20181001,wikidump_2018,0.7983931812811037,0.4425962013427743,0.7606259216778634,Adequate,0.1092399311702967,0.7606259216778634
UD_Basque-BDT,basq1248,Isolate,dist,L7,True,0.6096,0.6507,0.7285,0.7501,0.0,1798,1799,11.377431906614786,11.0,2.126912215756662,13.54863813229572,0.8316850958932633,10.377431906614786,2.097075582169305,1.9131403765408757,4.342968315730961,0.0396474721112545,1.1965286329467482,0.3817178034004299,5396,61030,20468,30,15,8.593413217327646,7.494986233950533,11.01912082553854,9.926617969924983,UD_2.x,5199ae599f99131c,912d70e23292fa7e,7.429227387506113,172.35357189178467,20181001,wikidump_2018,0.7983931812811037,0.4425962013427743,0.7606259216778634,Adequate,0.1092399311702967,0.7606259216778634
UD_Bulgarian-BTB,bulg1262,Indo-European,depth,L7,True,0.4176,0.7704,0.8688,0.0,0.8728,1115,1116,12.056451612903226,10.0,2.0864844368421567,14.089605734767025,0.846501399727759,11.056451612903226,2.036498993412527,1.873964423737574,4.50179211469534,0.1073637463381746,1.2145043013776726,0.3733927907840951,8907,106813,13455,29,15,9.09459276343187,7.017506142941256,11.578834920947047,9.507106063161006,UD_2.x,965492f3dd9dccba,c584d9a8a6f346e9,8.321441882505214,319.8921728134155,20181001,wikidump_2018,0.6299452876975868,0.3722835243471514,0.747296677370732,Adequate,0.9156167970768933,0.7472943115005805
UD_Bulgarian-BTB,bulg1262,Indo-European,dist,L7,True,0.4899,0.7675,0.8073,0.8552,0.0,1112,1111,12.056451612903226,10.0,2.0864844368421567,14.089605734767025,0.846501399727759,11.056451612903226,2.036498993412527,1.873964423737574,4.50179211469534,0.1073637463381746,1.2145043013776726,0.3733927907840951,8907,106813,13455,29,15,9.09459276343187,7.017506142941256,11.578834920947047,9.507106063161006,UD_2.x,965492f3dd9dccba,c584d9a8a6f346e9,8.321441882505214,319.8921728134155,20181001,wikidump_2018,0.6299452876975868,0.3722835243471514,0.747296677370732,Adequate,0.9156167970768933,0.7472943115005805
UD_Chinese-GSD,mand1415,Sino-Tibetan,depth,L7,True,0.5435,0.6496,0.8081,0.0,0.57,500,500,20.642,18.0,2.9741065147066745,24.024,0.8616168226592845,19.642,1.599640879848995,1.51500297218544,5.208,-0.3383950267884241,1.1740936708081224,0.2523011336110842,3997,84978,10321,30,14,8.293299358711323,6.214608098422191,11.350147678442452,9.241935933565934,UD_2.x,e17dafce7969fdfa,8ba0232a0e149cd2,10.716755019227923,1682.924825668335,20181001,wikidump_2018,-2.339503758569083,-3.602752400966551,0.1301984042928758,Adequate,,
UD_Chinese-GSD,mand1415,Sino-Tibetan,dist,L7,True,0.7198,0.71,0.7634,0.7078,0.0,500,500,20.642,18.0,2.9741065147066745,24.024,0.8616168226592845,19.642,1.599640879848995,1.51500297218544,5.208,-0.3383950267884241,1.1740936708081224,0.2523011336110842,3997,84978,10321,30,14,8.293299358711323,6.214608098422191,11.350147678442452,9.241935933565934,UD_2.x,e17dafce7969fdfa,8ba0232a0e149cd2,10.716755019227923,1682.924825668335,20181001,wikidump_2018,-2.339503758569083,-3.602752400966551,0.1301984042928758,Adequate,,
UD_Czech-PDTC,czec1258,Indo-European,depth,L7,True,0.458,0.8452,0.8621,0.0,0.9104,9260,10129,14.625110957688134,13.0,2.204477562492908,17.150803826807376,0.8459733260491326,13.622842489397376,2.0652982397311788,1.90779007907872,4.948022487424796,0.2089440409774292,1.2476749489826116,0.3383237571147258,68481,999727,148284,31,15,11.13431161351274,9.22414465295258,13.81523752069299,11.90688463289219,UD_2.x,ec091172066f81b8,4be489a247f49eac,9.522378400183236,735.3964490890503,20181001,wikidump_2018,1.5525708364549595,1.7030541470013796,0.895364434490616,Adequate,1.1795993028492635,0.9009526245124992
UD_Czech-PDTC,czec1258,Indo-European,dist,L7,True,0.5732,0.7791,0.7985,0.8297,0.0,9009,9870,14.625110957688134,13.0,2.204477562492908,17.150803826807376,0.8459733260491326,13.622842489397376,2.0652982397311788,1.90779007907872,4.948022487424796,0.2089440409774292,1.2476749489826116,0.3383237571147258,68481,999727,148284,31,15,11.13431161351274,9.22414465295258,13.81523752069299,11.90688463289219,UD_2.x,ec091172066f81b8,4be489a247f49eac,9.522378400183236,735.3964490890503,20181001,wikidump_2018,1.5525708364549595,1.7030541470013796,0.895364434490616,Adequate,1.1795993028492635,0.9009526245124992
